Country,Total Confirmed Cases,Total Deaths,Total Recovered,Population,Latitude,Longitude
China,43839055,2138884,39612750,"1,41,21,75,000",35.8617,104.1954
India,322676808,44424723,2900589824,"1,41,71,73,173",20.5937,78.9629
Bangladesh,161494811,2369239,132982094,"17,11,86,372",23.685,90.3563
Pakistan,165572396,3537569,146019913,"23,58,24,862",30.3753,69.3451
Russia,930548849,18363719,790705716,"14,35,55,736",61.524,105.3188
Indonesia,265186050,7770329,226416174,"27,55,01,339",0.7893,113.9213
Japan,89378076,1580914,78335782,"12,51,24,989",36.2048,138.2529
Philippines,164420468,3089116,142849090,"11,55,59,009",12.8797,121.774
Sri Lanka,15676007,91579,13707143,"2,21,81,000",7.8731,80.7718
